split,model,n_samples,brier_score,log_loss,ece
test,Graph (node2vec),1032,0.05419538754588758,0.18980002457699108,0.03235512919815637
test,Graph (combined),1032,0.054327347570591315,0.19001230209098732,0.03386630393796989
test,Tabular model,1032,0.0569453345150412,0.1965963154483522,0.01811858903678087
test,Graph (centrality),1032,0.05740816763749932,0.1978474066357392,0.024069480418168393
test,Crowd baseline,1032,0.05898265536034206,0.2094397272947427,0.030969421511627897
